GeneID;logFC.x;adj.P.Val.x;logFC.y;adj.P.Val.y;Diff;pattern;ExpressionChange;;;;
ENSGALG00000038520;2,325611795;1,67E-76;0,400765671;0,009719231;1,924846125;F;Up in Female;;;;
ENSGALG00000008285;1,923674328;4,31E-38;-0,339800691;0,085777241;2,263475019;F;Up in Female;;;;
ENSGALG00000043287;0,729848979;0,010851552;1,984031084;2,52E-18;-1,254182105;M;Up in Male;;;;
ENSGALG00000050996;1,750870845;0,040672997;2,489249655;0,045240922;-0,73837881;M;Up in Male;;;;
ENSGALG00000009596;1,644938107;2,14E-12;1,113526621;9,62E-06;0,531411486;Both;Both;;;;
ENSGALG00000053128;2,31938282;1,98E-05;1,158266075;0,058338387;1,161116746;F;Up in Female;;;;
ENSGALG00000049477;2,543831674;6,97E-06;0,952677032;0,160521121;1,591154641;F;Up in Female;;;;
ENSGALG00000010018;3,839775214;1,23E-18;4,848456391;1,61E-83;-1,008681177;M;Up in Male;;;;
ENSGALG00000010311;0,01919648;0,978217233;1,965044089;2,49E-07;-1,94584761;M;Up in Male;;;;
ENSGALG00000010940;0,853509266;2,29E-08;1,702792962;7,45E-34;-0,849283695;M;Up in Male;;;;
ENSGALG00000047529;0,642932606;0,127914855;1,583968843;5,95E-06;-0,941036236;M;Up in Male;;;;
ENSGALG00000011414;0,577540849;0,005788663;1,856903864;1,97E-27;-1,279363015;M;Up in Male;;;;
ENSGALG00000011717;1,519967738;0,001782634;0,598341864;0,301621109;0,921625874;F;Up in Female;;;;
ENSGALG00000029583;0,841922007;1,36E-10;2,943178631;7,96E-142;-2,101256625;M;Up in Male;;;;
ENSGALG00000012812;1,088976637;1,25E-05;3,228940075;1,09E-52;-2,139963438;M;Up in Male;;;;
ENSGALG00000012911;-0,199949711;0,831381576;1,552224003;0,015486772;-1,752173714;M;Up in Male;;;;
ENSGALG00000031293;3,749737974;6,39E-13;5,060504268;6,15E-29;-1,310766294;M;Up in Male;;;;
ENSGALG00000052391;1,876492057;0,010285118;1,669688599;0,012102393;0,206803458;Both;Both;;;;
ENSGALG00000019261;0,86082021;0,000407836;1,64823184;4,26E-14;-0,78741163;M;Up in Male;;;;
ENSGALG00000013911;1,05385984;5,62E-15;2,110490405;8,43E-62;-1,056630566;M;Up in Male;;;;
ENSGALG00000048026;3,463374394;0,001152509;3,713730885;0,008428413;-0,25035649;Both;Both;;;;
ENSGALG00000014428;1,66621091;2,88E-05;0,857227096;0,055746171;0,808983814;F;Up in Female;;;;
